SlNo,ReleaseDate,MovieName,ReleaseTime,Genre,Budget,BoxOfficeCollection,YoutubeViews,YoutubeLikes,YoutubeDislikes
1,2014-04-18,2 States,LW,Romance,36,104,8576361,26622,2527
2,2013-01-04,Table No. 21,N,Thriller ,10,12,1087320,1129,137
3,2014-07-18,Amit Sahni Ki List,N,Comedy,10,4,572336,586,54
4,2013-01-04,Rajdhani Express,N, Drama ,7,0.35,42626,86,19
5,2014-07-04,Bobby Jasoos,N,Comedy,18,10.8,3113427,4512,1224
6,2014-05-30,Citylights,HS, Drama ,7,35,1076591,1806,84
7,2014-09-19,Daawat-E-Ishq,N,Comedy,30,24.6,3905050,8315,1373
8,2013-01-11,Matru Ki Bijlee Ka Mandola,N,Comedy,33,40,2435283,4326,647
9,2014-01-10,Dedh Ishqiya,LW,Comedy,31,27,2333067,2436,591
10,2013-01-11,Gangoobai,N, Drama ,2,0.01,4354,1,1
11,2014-03-28,Dishkiyaoon,N,Action ,28,6,2397647,3308,465
12,2013-01-18,Inkaar,N,Romance,5,10.25,1077723,897,114
13,2014-06-27,Ek Villain,HS,Romance,35,105.5,4518748,13558,1094
14,2013-01-18,Mumbai Mirror,N,Action ,4,1.8,235767,192,164
15,2014-08-08,Entertainment,N,Comedy,60,163,6336058,20472,2843
16,2013-01-18,Bandook,N,Action,4,0.09,28391,8,14
17,2013-01-25,Race 2,LW,Thriller ,60,162,7641333,12617,2138
18,2014-06-06,Filmistaan,HS,Comedy,10,6,989096,1608,173
19,2014-09-12,Finding Fanny,N,Comedy,15,58.9,6144142,13013,2746
20,2014-06-13,Fugly,HS,Comedy,10,12.6,2343109,2963,556
21,2013-02-01,David,N,Thriller ,10,3.65,839270,1542,95
22,2014-03-07,Gulaab Gang,N,Action ,27,14.3,4687259,13219,1605
23,2014-02-14,Gunday,N,Action,50,76.7,3503887,8383,1419
24,2014-10-02,Haider,FS, Drama ,24,69,7048104,23590,2443
25,2014-11-21,Happy Ending,N,Romance,48,21.5,5192338,6928,1120
26,2013-02-08,Special 26,N, Drama ,42,103,1829417,6248,568
27,2014-10-24,Happy New Year,LW, Drama ,125,383,6395202,37585,10269
28,2013-02-08,ABCD _ Any Body Can Dance,N, Drama ,12,44,4042091,10609,788
29,2014-07-18,Hate Story 2,N,Thriller,12,27.16,13798789,15708,5226
30,2014-05-09,Hawaa Hawaai,HS, Drama ,11,10,764725,1377,94
31,2014-02-07,Heartless,N,Thriller,12,1.5,4823892,5797,227
32,2013-02-15,Murder 3,FS,Thriller,12,25,2249055,1879,747
33,2014-05-23,Heropanti,HS,Romance,21,65,4005695,8189,1814
34,2013-02-22,Kai Po Che!,N, Drama ,30,62.2,1888754,5686,512
35,2014-02-21,Highway,N, Drama ,30,27.25,3043012,9100,971
36,2013-02-22,Zilla Ghaziabad,N,Action,36,16,1551786,1753,619
37,2014-06-06,Holiday,HS,Action,50,129,6841635,14182,1997
38,2014-07-11,Humpty Sharma Ki Dulhania,N,Romance,20,130,6604595,14535,2208
39,2013-03-01,The Attacks of 26/11,N,Thriller,30,32,1041892,1911,344
40,2014-06-20,Humshakals,HS,Comedy,75,63.7,6280868,1,1
41,2013-03-08,"Saheb, Biwi Aur Gangster Returns",FS, Drama ,15,22,1176596,1037,189
42,2014-01-24,Jai Ho,N,Action,120,111,868743,2783,404
43,2014-09-19,Khoobsurat,N,Romance,12,39.4,5454349,12548,2038
44,2014-07-25,Kick,N,Action,100,377,18986221,101275,10066
45,2013-03-15,3G,N,Thriller,5,5.82,1200152,1385,345
46,2014-11-14,Kill Dil,N,Romance,35,36,2375050,4358,555
47,2013-03-15,Mere Dad Ki Maruti,N,Comedy,5,11,569711,1226,133
48,2013-03-15,Jolly LLB,N,Comedy,10,32.7,1741424,3024,181
49,2014-05-09,Koyelaanchal,HS,Action,8,2,591838,347,31
50,2014-05-02,Kya Dilli Kya Lahore,HS, Drama ,7,0.5,492344,2018,64
51,2014-07-04,Lekar Hum Deewana Dil,N,Romance,16,2.5,3998331,2307,497
52,2013-03-22,Aatma,N,Thriller,8,8.78,841891,997,306
53,2014-04-04,Main Tera Hero,LW,Comedy,40,55,4903941,12657,2139
54,2013-03-22,Sona Spa,N,Thriller,10,0.24,79430,61,112
55,2013-03-29,Himmatwala,N,Action,50,100,2501277,1,1
56,2014-05-09,Manjunath,HS, Drama ,3,1.75,370106,991,35
57,2014-08-22,Mardaani,N, Drama ,15,36,4376650,14408,1035
58,2013-04-05,Chashme Baddoor,N,Comedy,20,42,166066,2897,283
59,2014-09-05,Mary Kom,N, Drama ,15,104,6086811,26560,1647
60,2013-04-12,Nautanki Saala,LW,Comedy,9,21.5,1208841,1442,342
61,2014-05-09,Mastram,HS,Comedy,2,3,3557585,3927,1364
62,2013-04-12,Commando-A One Man Army,LW,Action,22,21,3162465,7519,562
63,2013-04-19,Ek Thi Daayan,FS,Thriller,24,45,1837437,3296,613
64,2014-01-17,Miss Lovely,N, Drama ,5,0.7,808439,328,95
65,2013-04-26,Aashiqui 2,N,Romance,12,110,2926673,4944,628
66,2014-03-28,O Teri,N,Comedy,21,3.75,1511318,3004,278
67,2014-01-31,One by Two,N,Romance,12,2.5,1016858,1081,212
68,2014-05-02,Purani Jeans,HS,Romance,10,1.1,1537063,822,229
69,2013-05-03,Shootout at Wadala,N,Thriller,45,75,769365,784,126
70,2014-03-07,Queen,N, Drama ,25,61,2981381,5339,443
71,2013-05-03,Bombay Talkies,N, Drama ,6,14.3,1528538,2766,328
72,2014-03-21,Ragini MMS 2,N,Thriller,18,50,5416213,6807,2717
73,2013-05-10,Go Goa Gone,N,Comedy,16,28.2,4321162,10126,964
74,2014-08-29,Raja Natwarlal,N,Thriller,35,29.6,4050407,8197,1155
75,2014-04-25,Revolver Rani,N, Drama ,24,10,1744602,3013,392
76,2014-02-28,Shaadi Ke Side Effects,N,Comedy,50,37.8,4590539,9021,1465
77,2013-05-17,Aurangzeb,N, Drama ,20,23,1901503,3394,754
78,2014-01-03,Sholay 3D,N,Action,25,11,1001670,2110,268
79,2014-08-15,Singham Returns,LW,Action,90,200,8287587,20011,2899
80,2014-11-07,The Shaukeens,N,Comedy,35,32.5,3395361,8395,1204
81,2013-05-24,Ishkq in Paris,LW,Romance,15,2.13,630506,463,83
82,2014-11-28,Ungli,N, Drama ,5,13.8,2763615,6907,489
83,2013-05-31,Yeh Jawaani Hai Deewani,N,Romance,70,311,5123217,13826,1640
84,2014-01-10,Yaariyan,LW,Romance,19,40,3331082,4853,767
85,2013-06-07,Yamla Pagla Deewana 2,N,Comedy,24,55,2775792,5457,681
86,2014-05-09,Yeh Hai Bakrapur,HS,Comedy,5,2,1257416,758,923
87,2014-03-28,Youngistaan,N, Drama ,26,6.75,603710,1082,177
88,2013-06-14,Fukrey,N,Comedy,5,36.2,227912,222,39
89,2014-11-28,Zid,N,Thriller,20,14.05,6698987,6750,2234
90,2014-12-19,PK,HS, Drama ,85,735,13270623,43767,5693
91,2013-06-21,Raanjhanaa,N,Romance,35,100,5470632,12413,1018
92,2014-12-05,Action Jackson,N,Action,90,57.45,13279636,19240,3859
93,2014-10-02,Bang Bang,FS,Action,140,340,15889811,61805,6283
94,2013-06-21,Shortcut Romeo,N,Thriller,15,2.58,1131573,913,255
95,2014-09-12,Creature,N,Thriller,24,20,2876498,5844,1537
96,2013-06-28,Ghanchakkar,N,Comedy,30,38,2248046,5108,614
97,2013-10-02,Besharam,LW,Comedy,85,35,5319606,10253,8165
98,2013-07-05,Lootera,N,Romance,27,28,2581449,4416,819
99,2014-07-18,Pizza 3D,N,Thriller,10,4.35,838943,1116,153
100,2014-05-16,The Xpose,HS,Thriller,16,29,3707889,3512,1292
101,2013-07-05,Policegiri,N,Action,30,16.8,1754266,1674,420
102,2013-07-12,Bhaag Milkha Bhaag,N, Drama ,30,164,2635390,4622,456
103,2014-04-25,Kaanchi,N, Drama ,31,4,2360968,2807,595
104,2014-04-25,Samrat and Co.,N,Thriller,18,2,371133,532,180
105,2013-07-12,B.A. Pass,N, Drama ,2,5.9,2240961,842,348
106,2013-07-19,Ramaiya Vastavaiya,N,Romance,35,30,3788488,4111,687
107,2014-03-14,Bewakoofiyan,FS,Romance,22,14,2850376,4764,1068
108,2013-07-19,D Day,N,Action,30,24,1939868,1804,224
109,2014-02-21,Darr@ The Mall,N,Thriller,15,4.5,1679872,255,51
110,2013-07-26,Issaq,N,Romance,10,5,68511,76,16
111,2014-02-07,Hasee To Phansee,N,Romance,27,35.5,2543707,6390,975
112,2013-07-26,Bajatey Raho,N,Comedy,5,10,462722,513,77
113,2014-01-03,Mr Joe B Carvalho,N,Comedy,15,4,268289,139,40
114,2013-07-26,Nasha,N,Thriller,4,8,613448,288,188
115,2014-04-11,Bhootnath Returns,LW,Thriller,29,53,3049275,10759,657
116,2013-08-09,Chennai Express,FS,Comedy,75,395,1882346,7954,1593
117,2013-08-15,Once Upon Ay Time In Mumbai Dobaara!,FS,Thriller,100,80,3077135,9200,2821
118,2013-08-23,Madras Cafe,N,Thriller,35,42.7,1709945,2974,594
119,2013-08-30,Satyagraha,N, Drama ,50,60,1422568,2736,394
120,2013-11-01,Krrish 3,FS,Action,115,300,23171067,72070,11888
121,2014-03-07,Total Siyappa,N, Drama ,10,12,1719399,3656,548
122,2013-11-08,Satya 2,FS,Thriller,15,1.1,110315,89,26
123,2013-11-15,Rajjo,FS,Romance,12,2,1718619,1606,1083
124,2013-11-22,Gori Tere Pyaar Mein,N,Romance,30,12.65,3799253,8559,1871
125,2013-11-29,Bullett Raja,N,Comedy,50,40,4015674,8084,2129
126,2013-10-11,War Chhod Na Yaar,FS,Comedy,14,7.5,40450,33,7
127,2013-10-11,Baat Ban Gayi,FS,Comedy,4,1.5,23186,9,4
128,2013-10-16,Boss,FS, Drama ,50,45,6464704,22977,3396
129,2013-10-18,Shahid,FS, Drama ,6,40,1148516,3155,396
130,2013-10-25,Mickey Virus,N,Comedy,11,6,335807,574,129
131,2013-09-06,Zanjeer,LW,Action,75,18.2,2539431,5634,922
132,2013-09-06,Shuddh Desi Romance,LW,Romance,25,55,5142,1,1
133,2013-09-13,Grand Masti,LW,Comedy,35,298,1795640,3015,721
134,2014-05-16,Children Of War,HS, Drama ,12,22,577569,1640,156
135,2013-09-20,Phata Poster Nikla Hero,N, Drama ,40,34,5176897,10672,1392
136,2013-09-20,The Lunchbox,N, Drama ,10,85,1064854,4054,285
137,2015-01-09,Tevar,N,Action,40,56,6132407,11241,1729
138,2015-01-16,Alone,N,Thriller,18,25,8788913,18907,2940
139,2015-01-23,Baby,N,Action,60,125,7968156,29246,2426
140,2015-01-30,Hawaizaada,N, Drama ,25,30.25,2368404,8619,539
141,2015-01-30,Khamoshiyan,N,Thriller,11,14.02,3094001,4599,997
142,2015-02-06,Shamitabh,N, Drama ,40,38,2105508,5599,677
143,2015-02-13,Roy,FS,Romance,40,58,7687797,18974,3229
144,2015-02-20,Badlapur,FS,Action,23,77,4550051,10602,893
145,2015-02-27,Dum Laga Ke Haisha,N,Comedy,15,30,3250917,8185,615
146,2015-03-13,NH10,N,Thriller,13,32.1,5592977,15464,1513
147,2015-03-20,Dilliwali Zaalim Girlfriend,N,Comedy,32,12,2316047,4289,807
148,2015-03-20,Hunterrr,N,Comedy,5,11.89,4674795,3706,762
149,2014-05-23,Kochadaiiyaan,HS,Action,150,120,4740727,13466,2649
